rating,name,review,date,location,usage_duration
1,Sugoi JDM,"TikTok attempts to persuade you to enroll in their marketing sales campaigns by guaranteeing you coupons and free shipping that you can use and will be credited for. However, this is a false claim. They do not provide any reimbursement for these offers, and they also keep your funds for a period of 2-3 weeks. Not even worth the time and headache to sell on TikTok.","December 18, 2023",United States,About 1 year using the app
1,Plum Deluxe Tea,"Watch for Data Loss in New Version!! We have been using this app for the ads pixel integration, but upgraded to use the new Tiktok shops functionality after being prompted by Tiktok. We were using Silk before for Tiktok shops, and I encourage you to continue to use Silk. This integration will wipe your Tiktok shop of all listings and then most listings will have some sort of error, but none of the links work for you to fix it. We've had a ticket open with Tiktok for about a week and nobody seems to have any idea how to fix it, meanwhile our Tiktok shop has been decimated.","September 10, 2023",United States,12 months using the app
1,My Store,"The day after I deposited a bunch of money to start running Tik Tok Ads on my Shop, I suddenly get an email saying I have received a ticket with 6 violations for using ""other creator's content on TikTok Shop"". -- WHICH I ABSOLUTELY DID NOT. And when I clicked on the link the ticket says it's unappealable. It made me so mad that I spent the last 2 weeks creating my own designs, had already posted several videos and finally decided to put $$ into ads and THEN receive this nonsense, and it has the nerve to be unappealable!!!! Pissed me off so much that I immediately deleted my shop and am now trying to get my money back that has not yet been spent on ads! And it's a lot since it had only been a day and a half.","November 7, 2024",United States,2 days using the app
1,Kasa Karly,honestly the setup of this is so frustrating. The synching makes no sense. products show pending in Shopify and on tiktok show approved. the two dont work well together. im a very tech savvy person. I have now had to hire someone and even they're confused...,"July 4, 2023",United States,11 months using the app
1,Garden Bunker,Doesn't connect to TikTok Shop,"December 1, 2023",United States,10 months using the app
1,Gryphon Worx Creations,This app worked fine for the most part last year. Now since the update at the end of the year (2023) it is completely broken. The sync is broken. This app is now worthless and causing more stress than it is worth.,"January 21, 2024",United States,10 months using the app
1,Greenphones,"If I could rate this with minus stars I would have. I have implemented hundreds of apps/APIs etc. But this integration between Shopify and Tiktok is the worst I have ever experienced. All went relatively smooth until trying to set up a product catalog. In which I constantly got an error message regarding the country or region cant be selected for my storefront. Firstly I consulted Shopify support to which they said I didnt have any issues with the the setup of my storefront. I spent hours with their support team with no solution. At the same time I reached out to Tiktok support. Seriously slow responses and no idea on how to resolve the issue. Surely if Shopify and Tiktok work together on an integration, then somebody must be able to pin point what the issue is. I then set up a completely new Business account with Tiktok and again tried to connect to the Tiktok account from Shopify and got the same error. I have sent out one final email to Tiktok support, but frankly it shouldnt be this difficult and for two major companies like Tiktok and Shopify, the level of support as been way below average.","November 23, 2022",Norway,9 months using the app
1,Lovely Body,I can’t connect the TikTok shop,"October 30, 2023",United States,9 months using the app
1,GodefroyBeauty,"A vast majority of their 5 star reviews are AI generated. Just read them and you'll see. I don't understand how Shopify allows all these fake reviews on their platform.

App is very limited in what you can do. Does not sync product orders between TikTok Shop and Shopify. Pretty much a pointless app.","July 31, 2023",United States,9 months using the app
1,Little Zen One,"Awful. The app doesn't work. I set up a campaign via the Shopify admin. The campaign ""failed"" so I ""cancelled"" the campaign after it failed; however, Tik Tok has continued to bill me (3 x the amount that is stated in the campaign total via the app dahsboard found in the Shopify admin.) I have reached out to Tik Tok (through the app, through the business admin site, and through the Shopify app channel multiple times... with no response.) I then reached out to Shopify, who said they can't help because it's a ""third party"" site. In my experience, the app is untrustworthy: 1. it doesn't work 2. there is no support from Tik Tok 3. there is no support from Shopify","July 15, 2022",Canada,8 months using the app
1,SnowPaw Store,"Only any good if you only have 1 location setup on Shopify, as we have multiple locations it is unusable as there is no way to select the location so it just fails to connect as it has just randomly selected our Amazon Location which is located at a different address to the address setup in TikTok","April 8, 2024",United Kingdom,7 months using the app
1,DORBEL store,JE me suits nouveau Dan's bizness,"Edited September 8, 2025",United States,3 months using the app
1,Pack Turtle,It is worthless and so is their nonexistent support. I can't run ad campaigns or upload videos to our business account. I have been trying to get help for weeks and have been completely ignored. This horrible excuse for a company should be banned. We will be filing a complaint through Shopify and the FTC.,"March 2, 2024",United States,6 months using the app
1,Flint Clothing,"Integration was a constant pain. When we imported our products 80% failed verification with no explanation and would not verify after multiple amendments. Raised a support ticket for help, got nowhere and they market the ticket as resolved despite not addressing the issue.

The core issue appears to be over the name of our products, which are factually accurate and design-inspired names, yet they appear to breach some standards. There appears to be no way to have a human review the products to see that they meet the guidelines and I don't expect they will amend the algorithm any time soon.

Awful experience thus far.","September 26, 2024",United Kingdom,1 day using the app
1,DAVERRI FASHIONS,"Installed the app. and I continue to get error codes. I'm unable to see disapproved products, and there's no explanation on what's needed to fix the disapproved products. It's nearly impossible to reach support. I've sent multiple messages and no response. You're left hanging trying to figure things app. Not happy at all.","Edited October 24, 2023",United States,6 months using the app
1,TFashion Mart,"We receive several hundreds of orders on TikTok Shop daily. Unfortunately, TikTok Shop app doesn't do a very good job at sync'ing orders, especially after the orders are shipped on Shopify. Tracking number does not get sync'ed to the orders on TikTok Shop as it should on many orders so I have to manually add tracking numbers to each orders for hundreds of orders. Of course, their support staff doesn't even understand what the issue is and just asks to provide Order ID, Order Status, Shipping Provider, Tracking Number, etc. for all hundreds of orders. Are you serious? To provide all these information for hundreds of orders will take hours and days.","October 10, 2023",United States,5 months using the app
1,Turbo Java Coffee Co.,"I've been trying to sync my Shopify store to TikTok for over 5 months now. TikTok Support leaves a lot to be desired, and they don't seem to care if the issue gets resolved or not. They don't reply to tickets and just close them out instead of fixing the issues.","January 30, 2024",United States,4 months using the app
1,Earrings by Emma,It's been a very frustrating experience using this app. It does not sync well and is pretty buggy. :(,"March 15, 2024",United States,4 months using the app
1,Trend4us,"This App i great some how! but useless you can't target the market you want, not recommended for long term at all.. There is no flexibility nor options to create and target your Audience in specific market.","September 2, 2021",United States,4 months using the app
1,Alididihair,"terrible ,can't get connect with ads account and customer service only reply during 48h","April 27, 2024",China,4 months using the app
1,Simply Spun,"Shopify is great, very intuitive and relatively easy to navigate and connecting it to a TikTok shop is relatively easy. TikTok Shop is very frustrating at times. The process of accepting orders and printing shipping labels is straight foreword but TikTok as a platform seems to hold more bearing in their buyers than their sellers. Buyer initiated refunds and returns are accepted and processed automatically with what feels like little regard from the Seller. Customer Service leaves much to desire. Any explanation of violations you might encounter and why they were applied are non-existent and it seems appeals of violations fall on deaf ears. Its unfortunate that is it such an effective way to get your products in front of possible consumers, as long as you color within the vague lines TikTok has set. Good Luck.","January 3, 2024",United States,4 months using the app
1,J and J Gaming Factory,"1 star.

would be 0 stars if i could. avoid tiktok shop, their customer support is terrible. syncing products fails because tiktok doesn't support the same categories that shopify does.

random products fall into prohibited or restricted. and the appeal process doens't work.

save yourself the time and avoid using tiktok.","September 9, 2023",United States,4 months using the app
1,Pure Choice Farms,Easily the worst platform we try to run ads on. Use TikTok as a last resort.,"June 3, 2025",United States,6 months using the app
1,KRE Prime,"I'm extremely disappointed in the TikTok Shop app. I was excited when the app first came out. it's seem to be working for the first month or so, it's was great but it worked. Now, I'm uninstalling the app because it's not working and I can't get any support. I can't sync my products, inventories from Shopify to TikTok shop and I can't sync my order from TikTok shop to Shopify. It's has been a nightmare, so I will be going back to the previously app I was using. I have submitted over 10 support tickets and receive zero support. They closed the tickets and gave me the running around respond, like AI. Having zero customer support for an unstable app is the worst.","November 15, 2023",United States,4 months using the app
1,Under NY Sky,"Registration takes too long and has bugs at every step. Moreover, customer support is not responsive. I'm talking about 30 days waiting without answer or progress.","February 1, 2024",United States,3 months using the app
1,OsoPorto,"Unfortunately, have not been able to make the TikTok sales channel work because ""a country or region cannot be selected for your storefront,"" yet the storefront us correctly set up. TikTok said it is a Shopify issue. Shopify said its a TikTok issue. Then TikTok just stopped responding, and eventually I gave up.","July 14, 2022",United States,3 months using the app
1,LSM Boutique&#39;s Fashion N Fragrances,"Very difficult to use, I tried and it didn't work out for me when I went to tiktok to post, it was difficult","October 10, 2021",United States,3 months using the app
1,Nation Athletics Bjj,Would love to start advertising and selling on TikTok if the set up actually worked. Can't find any support online and all the 'academy' articles don't seem to make sense for the options available. Been down a spiralling rabbit whole of youtube 'how too'. Seems overly complicated just connect a product feed from shopify.,"November 1, 2023",United States,3 months using the app
1,Skill Bully,you would think today it would be plug in play... talk about the many loops you have to jump just to set up a shop that will take a few days just to see if your product will load.. this should be an easy sync but they would rather you pay developers to do something that should be done with ease... such a joke,"December 11, 2023",United States,3 months using the app
1,clock.wathches.gr,why my account is frozen ?? please re-open my account ! why my account is frozen ?? please re-open my account ! why my account is frozen ?? please re-open my account !,"February 6, 2023",Greece,2 months using the app
1,Bibimbo,"Can't figure out how to verify mi business informations. I sent them 3 official certificate in order to validate my account, but nothing seems to work. I AM UNABLE (like many others people) TO VERIFY MY BUSINESS ACCOUNT. After 6 days and something like 10 attempts, I gave up.. ONE STAR, fucking TIKTOK","October 19, 2025",Italy,3 days using the app
1,Clothing by CAETHELS,"I have been suspended on both of my store. I cannot find a reason and I i'm limited to resource. to fix the issue.the situation been, very crazy and difficult","June 1, 2025",United States,4 months using the app
1,SAVE ME FROM,"SMALL BUSINESS - BEWARE! Uninstalling, and highly disappointed as they fraudulently lie about their ad credit for small businesses. We initially downloaded the app as we were emailed about a Small Business Credit for advertising, which took forever to verify our business account as they were not disclosing what documents they needed from us, so we ended up uploading all of our business documents and finally got approved. After doing so, we were emailed to claim our credit which we did, and took us to the Advertising Manager and we assumed that we would be able to use this credit on our ads but was not applied to our account and were charged for the ads we were supposed to get credit for. Upon following up with TikTok Business support, they were stating we needed to claim the credit by 12/15 (not disclosed in the email anywhere, and we did claim it on 12/10), and then closed our ticket with no attempt at resolving. I filed another claim, asking where in the email is this information to be then told that the ad credit is no longer available in my country (US), yet we received an email 01/05 stating that there is another small business ad credit we can apply on the account, which does not disclose an expiration. There is no resolution on their part, they are not looking to help small businesses during these difficult times due to their fraudulent ""ad credit""","January 5, 2021",United States,About 2 months using the app
1,JaeBee,I installed this app months ago and still can't get any help with setup. I also was suspended after setting up an ad account.,"Edited December 29, 2021",United States,About 2 months using the app
1,Angelique Lafreniere Artist,Okay my products have been in the pending option for more then 2 weeks ahhhh,"Edited July 26, 2025",Canada,About 2 months using the app
1,Snoot Boopers,"No matter what I do, the app will not connect to my TikTok account. Requested help from Support, no response.","January 5, 2024",United States,About 2 months using the app
1,Lovers Rock Sea Moss,"Error message when trying to connect my tiktok shop to my shopify store. Continue to get the same error message ""Oops, please reload page"" with no other explaination. Tried 3 different browsers and got the same error message. App is a waste of time.","January 7, 2024",United States,About 2 months using the app
1,M1インソール公式サイト,"Compared to facebook ads, the targeting was poor and the CPA was about 8 times higher. Also, I attended a seminar on TikTok and started advertising 8 days later because of the campaign. However, the campaign was not applied, so I inquired about it and the answer was that the campaign ended the day before I started the ad. Since there is no deadline on the materials, it is almost a scam.","May 6, 2021",Japan,About 1 month using the app
1,AMAFHHA-SHOP,"I have been struggling to setup my Tik Tok shop but after providing all my Business info and when I submitted my form getting message info incorrect while all info are correct and checked my details multiple times are correct, I then contact support team and they are asking for screen shop to resolve the issue and without screen shop they can not help, I am not able to provide as there is no options available and my issue was not solved, company policy is very bad as agent told me this is a company policy to get screen shop","March 18, 2024",United Kingdom,About 1 month using the app
1,bindrz,"I really wanted the app to work since I have been using a 3rd party app to sync and wanted to move away from those costs. But there are two major issues that is a deal breaker so far: 1) the inability to selectively disable or enable the sync of certain attributes (like product name, description, photos, pricing) and 2) if you disable the TikTok channel in Shopify for a product, it will delete the product in TikTok and when you re-enable it, it will create the product with a NEW ID. This means any commission set or reviews are not available when it created the new product.

I'll have to wait until they come out with more granular features before I can comfortably switch to it.","January 6, 2024",United States,27 days using the app
1,Jewelry Sessions,My account was deactivated by tik tok for policy violations which is ludicrous seeing I have contacted shopify and Tik more than once about getting help to connect my account. My shopify account is not even connected and they deactivated my account for a potentially risky seller. It's interesting since I wasn't even able to load 1 product. Wow pretty discussting Tik Tok has never once sent me any message from customer support in helping with this and it has been at least 3 weeks since I started this time-consuming trip.,"January 12, 2024",United States,27 days using the app
1,Lost Tag,"I don't even know where to begin with the number of issues trying to connect my shopify store to tiktok.

This app is wonderful if you want to spend several weeks trying to get integrated only to come out of it with a permanent & automatic TikTok Shop closure due to ""Shop Compliance Incorrect Registration Information - Shop Closure"". Attaching your EIN paperwork from the IRS apparently is not enough and they offer no proactive support when this will happen to you.

I get that it must be this way due to them trying to avoid fraud cases maybe? but it is a rather complicated set up and I am sure I am not the only store that is simply missing some setting somewhere that would be an easy thing to fix with a little assistance.

I am sure I could fix this shop violation easily as I am in fact a valid business with the proper paperwork and not a fraudster, but honestly this onboarding experience has taught me that this is not a selling partnership I want to pursue and I will stick to just marketing on TikTok which is an actual good experience. I think its just the shop experience itself to be honest and I also can only imagine the type of issues they had early on where these types of hurdles needed to be put in place.","December 19, 2023",United States,22 days using the app
1,Pure Product Australia,"Stay away from Tiktok for business, connecting to nowhere, you can't find the comparing you created and the they system dose not allow you to open tickets no phone support","April 3, 2025",Australia,Over 3 years using the app
1,Wild Daisy Acres,It don't like my products,"May 2, 2025",United States,12 months using the app
1,Pleea Cosmetics®,"Objetivamente la aplicación es muy mala para un país como Colombia, no ves resultados, cuesta mucho el día y nunca sabes si la gente vio la campaña o no, no la recomiendo, no pierdan el dinero por lo menos en Colombia.","August 18, 2024",Colombia,About 1 month using the app
1,Handmade’s Victim,"Muy descontenta con esta aplicación, hice una campaña con un presupuesto de 30 € y me han cobrado lo que les parece, me siguen cobrando todos los días una cuota y he tenido hasta que cancelar la tarjeta porque no hay manera de ponerse en contacto con ellos. Si hay alguien de esta aplicación que me pueda ayudar, ayudar, lo agradecería","December 18, 2024",Spain,About 1 month using the app
1,True Victory,Not able to log on. Once I arrive at the section for entering my business account info the app crashes.,"Edited July 2, 2022",United States,13 days using the app
1,Reboot Horizon,"cela fait plusieurs heures (6h00 au moins) que j'essaie en vain de connecter shopify et tik tok, au secours, je n'y arrive pas...","December 10, 2025",,
1,Skyrocket Coffee,Cannot link to my tiktok account. TikTok portion says it cannot find my account. Support link does not work.,"Edited August 12, 2024",United States,11 days using the app
1,Yarnspirations,Unbelievably bad. Product sales channels are ignored; it takes hours to map products to categories because they must be done individually. Just an absolutely poor app that isn't worth the time or the effort of setting up.,"January 30, 2024",United States,8 days using the app
1,KISPER,The app is broken and there's no real-time support available. It didn't let me connect my business TikTok account to Shopify.,"July 14, 2022",United States,8 days using the app
1,Sheair Butters,How does this useless app have 4.8 stars? This app serves no purpose at all. You can set up ads on TikTok without this app. You cannot even sync your Shopify catalog to TikTok. Complete garbage. I have wasted days for nothing. TikTok and Shopify both should be disgusted at misleading customers.,"July 21, 2023",United States,7 days using the app
1,Roadrunner Trail Jewelry,"Refused to recognize my account with my phone number. Every time it sent me a code, I put it in and then I got an error, unrecognizable account! Super frustrating, especially since I have already synced my account to shopify and am able to log into my account.","October 10, 2024",United States,7 days using the app
1,Nettle Studios,almost impossible to set up or get support... our business details keep getting denied for no reason. disappointing... let small businesses sell on TikTok!!,"November 2, 2023",United States,7 days using the app
1,Clear Wellness 360,"Nightmare trying to get TikTok Shop running. What seemed like a quick, simple installation has ground to halt, stuck in the mode ""We're Getting Everything Ready"" when trying to sync my products from Shopify.

Numerous support tickets with screenshots, a loom video and full explanations have just had the issue pushed around from person to person. Now I am told it is with the ""internal team"" and who knows when I will hear back on that.

I really wanted to give this a go. Seemed like a no-brainer to try this, put up shop Shop Ads and see if we can get some traction. But, it has taken SO much time I that can ill afford. I am giving up.","February 20, 2024",United States,7 days using the app
1,StreamZ (UK),"Shocking introduction to TikTok with this App. Decided to go ahead and setup the App following the offer of $200 credit. 1/ We haven't received any credit and 'support' seem like they've followed the FB support training manual and just repeat the same/wrong thing over and over again. 2/ Of just 3 products setup one is showing in the App as ""rejected"" for TikTok marketing with no reason whatsoever, yet an advert we setup is running. ZERO support and ZERO help so cant see us using this app or TikTok much longer.","October 5, 2022",United Kingdom,7 days using the app
1,Role-Players,"Keep asking for ein verification I have done it 7 times info is correct ,and no telephone number to call and see what problem is and get fixed. Still not registered geuss 3 bank account 147c and drivers license renewal not enough","Edited June 24, 2024",United States,7 days using the app
1,metalcraftusa,"Difficult to sign up with TikTok Shop as a business as one requirement is a passport. The Chat with us feature is worthless as one just gets the run around and no solid answers. Started a ticket but then email received saying they did not understand what I needed and yet I was very clear with photo and description so just a waste of time trying to get this to work. Also saw limit of $40 shipping cost I could charge and I want to know what shipping company would ship a 49 lb. box 19""w x 19L x 13""h, $800 value, Adult Signature required at time of delivery for $40 from MN to LA If there is a shipping company who could do it for that, please let me know as our discounted rate was much more than that.","June 13, 2024",United States,About 1 hour using the app
1,Atelier Extensions,Sync of products doesn't work.,"July 24, 2024",United States,About 2 years using the app
1,Peachi Baby,"Really buggy. I signed up for £36 of ads credit off the bat and then had huge issues setting my pixel & account up to actually be able to spend the credit. Support forms don't work on web or mobile. The link to customer support on the invoice doesn't work. I had to disconnect my account and create a new one. I then submitted a brand new ticket, clicked send and everything I'd written disappeared. Fed up of going round in circles and hoping one of my messages has got through as I'd like a refund on the original account. I was excited about using the Tiktok channel and was hoping to take advantage of the welcome offer but I'm now dubious about using this it at all because the support is so bad/buggy.","October 23, 2021",United Kingdom,5 days using the app
1,Motomike Canada,"I cannot even add payment info, drop down menu does not contain my city. Pretty useless to have a drop down menu for payment addresses, especially if it contains only like 30 cities for all of the province. garbage.","November 7, 2021",Canada,4 days using the app
1,Dana Cooper Bermuda,"Really really bad, took too long, no help, repeat typing over and over again and doing again here. No help, bad for a small business....too much work and waste of tie for what it is worth sadly","August 3, 2024",United States,Over 1 year using the app
1,Airzey,Why does it ask for SSN or ITIN to set up tiktok shop? Literally wouldn't give that away to anyone and no other social platform asks for it.,"September 3, 2023",United States,4 days using the app
1,Rizz Wear,uselessly difficult to open up a shop,"December 19, 2024",United States,Over 1 year using the app
1,TWRAPS,not syncing orders tracking # after I ship via Shopify,"March 31, 2025",United States,8 months using the app
1,Workshop Companion,Tiktok does not allow digital sales.,"October 23, 2023",United States,3 days using the app
1,Flavor Your Meat,Horrible. Trying to set up a sales channel is a nightmare. Spent days trying to get it figured out only to be told the products I am selling I have to be invited to sell. Huge waste of my time.,"October 27, 2023",United States,2 days using the app
1,Booster,Not compatible with store in Romania,"July 15, 2024",Romania,9 months using the app
1,RENWILLS,"Worthless, overpriced and in my opinion misleading. First there was a $100 ad credit that disappeared after I installed the app. Set up an ad anyway and emailed TikTok about the credit. Charged me $5 add free then rejected my ad after running for about 12 hours after charging me another $7.30. The rejection tells me to go to the ad manager to learn why my add was rejected but cannot find the ad manager to save my life. Back to Google and Facebook ads where my $20 can make a few hundred in 12 hours where TikTok was $0.","August 1, 2021",United States,2 days using the app
1,bambu,"This has been a useful exercise. I cannot even load this. Platform does not exist. I've tried multiple browsers, system errors, nobody to contact at customer support. Seems dodgy. No contact, no email address, and no reply to make things better.","Edited August 31, 2021",United States,1 day using the app
1,SOCCER BOOKS,"We attempted to create an advertising account but encountered significant difficulties with the verification process. Despite submitting 12 different photo ID verification attempts, we were unable to successfully complete the verification requirements. Your overly complex ID verification system is likely deterring thousands of potential customers from using your platform. This restrictive approach to verification is unnecessarily limiting your business growth. Unfortunately, due to these technical barriers, we will not be proceeding further.

Best regards, The Soccerbooks Team","February 21, 2025",United Kingdom,About 23 hours using the app
1,Favors Decor and More,App is worthless. Nothing sinks properly This is only created for them to get ad money from you not to list products for sale.,"July 25, 2024",United States,6 months using the app
1,Sinking Birdies,"Once a product is linked you cannot unlink it.

Rubbish","September 5, 2024",United Kingdom,5 months using the app
1,inselife,"1, i want to set up tik tok shopping partner integration,but can not get through the data sharing step,we choose the maximum level,and connect the tik tok pixel for shopify,then click the confirm button,but it shows error:request failed with status code 504; 2,i can not disconnect my current pixels; 3,i even can not disconnect my current tik tok for business account; that's really annoying no one help","November 2, 2022",United States,10 months using the app
1,GMI - Guitar and Music Institute Online Shop,"Think before you install this app if you are a business but not yet registered for VAT. The app demands that you have a VAT registration number (I'm in the UK). If you don't have one, you're in a loop. Why not try the HELP section. Nope, they get back to you fairly quickly, but robotically just say ""all EU and UK businesses must add their VAT number""....DESPITE telling them that my business did not have one and it is non compulsory for UK businesses under £86K turnover or there about...the help was utterly useless and to be frank, not fit for purpose. Now the app is in Limbo...meaning it's not totally installed due to no VAT number but I can't actually delete it from my Shopify store without going into the code...brilliant, just what I needed. Now I can waste more of my time delving into the guts of the Shopify code. I've always thought Tik Tok was probably nonsense, my experience with the company confirms that they are just that ...nonsense.","March 23, 2021",United Kingdom,About 15 hours using the app
1,anying360,It seems tiktok pixel is slowing down my web site. How can I solve this problem? Why should I spend money on a TikTok campaign when my website is too slow 'cose tiktok pixel?,"November 11, 2022",China,8 months using the app
1,Hairstylistsusy,"E intentado por un med sincronizar tik tok con shopify me da un error el cual me comunico con tik tok dicen que todo esta bien, me comunico con shopify y dicen lo mismo. Super mal","September 25, 2023",United States,8 months using the app
1,EasyCheese.no,Adds close to a second of extra load time on our sites and on top of that the product catalog is not supported when the store use Norwegian as standard language. Support couldn't care less. This app needs some proper work.,"October 27, 2023",Norway,7 months using the app
1,Star Shopping-de,"Can't get through to customer service! very inconvenient! customer service should be super active,with a chat always available 24 hours a day.","November 14, 2022",Germany,4 months using the app
1,ladymascherianaturalbeauty,". I have wrriten TT about what is going on with my account. These people do not reply back until someone write a review. I need help putting my stuff on TT, The ads runs great. But to open my store on TT is a dead deal because no one will reach out to you. I can not find my id , Its really hard.","Edited August 6, 2024",United States,About 1 month using the app
1,Carauana Store,"La Configurazione Con Shopify è Facile Devo Provare a vedere Come Viene il Mio Shop e Soprattutto il Traffico Ricevuto Per Ora Vale 5 Stars Aggiornamento Perdita di tempo, dopo una settimana di lavoro non riesco a decidere il mercato dove voglio io , per vender in America deve per forza trasferirsi li. impossibile mi sento preso per il cu llooo . ho 4 paese da scegliere per il mercato in base alla posizione dove sono connesso!!!!! Ma io sono in vacanza in Africa ... insomma disinstallo subito Prima di diventare matto Non vale una Stella La stella per il supporto che non hanno cercato di risolvere il problema","Edited March 15, 2023",Italy,4 months using the app
1,Grandiose Gallery,Very cumbersome to set up account.,"January 3, 2025",United States,About 1 month using the app
1,Instant Joy,"L'application déconnecte le pixel sans raison en pleine campagne, ce qui nous oblige a en re créer un nouveau et à perdre toute la data sur le produit. A fuir","November 23, 2023",France,2 months using the app
1,Stefany Bags Shoes and More,"selling vintage items especially old luxury bags in TikTok Shop simply impossible, they over regulated this by requiring so many things that its not worth it","December 4, 2023",United States,About 3 hours using the app
1,colombiancoffeeus,Utter GARBAGE you would think these guys know what they are doing. the apps lags horribly their compliance / legal parameters have no concept of what the real world looks like The target audience buys Garbage. the demographics on this app are not worth the investment and finally their support is a joke. not worth your effort. the return rates are horrendous,"March 17, 2025",United States,Over 2 years using the app
1,Tachinedas Kreativshop,"Ticket ID 796388: Waiting for promised 200€ ad credit for three weeks. No support, only telling us to wait.","September 27, 2022",Germany,28 days using the app
1,SEOBEAN®,"""Unknown error"" appears repeatedly when creating an advertisement, the reason for the error cannot be found, the recharged money cannot be returned. No one to help me, can't find customer service. If I could give 0 star, I would give 0 star.","March 9, 2023",United States,About 1 hour using the app
1,fivestartoolshop.com,Schlechter Servise alle Support Anfragen lassen sich nicht senden. Keine Hilfe bei der Authentifizierung. Schlechter Service.,"April 25, 2025",Germany,Over 1 year using the app
1,JTUrban,it's good,"March 30, 2024",Australia,About 1 hour using the app
1,DELOMO,刚冲了100美金进去，然后创建了两个广告组，广告素材是红人授权使用的，其他的也没发现有什么问题。还没跑起来广告账户就被封了，开Ticket申述还需要先上传两个不同的身份证明文件。从来没用过这么难用又这么容易封号的广告平台。,"May 3, 2022",United States,12 days using the app
1,"10,000",it is good.,"June 11, 2025",United States,25 minutes using the app
1,Glowbay,"不能设置已有的像素,BM号与广告号数据交互性差","October 27, 2023",United States,9 days using the app
1,Dais&#39;y Beauty,"I even can not open tiktok Ads. Besides I can not open tiktok accounts link, I'm very sad. and I make a video of my product and paid ads fee, but no one clicked....","January 31, 2023",United States,9 days using the app
1,Indy Love,it wont let me log into any of my tiktok accounts. it keeps saying it cannot fins my accounts. Please help,"June 2, 2022",Australia,25 minutes using the app
1,Redkey USB,"Meh! Not VAT registered? No TIK TOK for you. Better to find out these things sooner, rather than later doncha think?","March 23, 2021",United Kingdom,19 minutes using the app
1,Oliver &amp; Company Montessori Toys,0 Stars App is BS. Can't get approved no matter what documents you upload and takes days to just get declined over and over again. Sucks! I don't recommend at all!,"July 21, 2024",United States,2 days using the app
1,VincaUSA,I tried to log on and it just keeps saying account doesn't exist. I logged in and out on my phone to confirm I'm set up as a business but it's just not working.,"November 3, 2021",United States,14 minutes using the app
1,PetzPaws,"I do not like that I cannot log in on my computer. As a business operator, it requires tons of workarounds and reduces the time for actual productivity - like creating shoppable videos.","March 10, 2024",United States,11 minutes using the app
1,Lotto Sport,Will not connect our accounts; completely unusable,"April 2, 2024",United States,8 minutes using the app
1,Tealove24,"Only costs, no benefits, confusing billing","September 1, 2024",Germany,6 months using the app
1,Home Goods Near Me,I don't like your racist policies.,"April 11, 2024",United Kingdom,About 1 hour using the app
1,Focus Gummies,Trash app!!! cant even log in,"May 31, 2025",Sweden,About 2 hours using the app
1,Professional Hair Styler,Does not have automatic payment. I am afraid that my funds will be stolen. Please turn on automatic payment.,"December 9, 2022",Canada,8 minutes using the app
1,Tentsile,,"August 27, 2025",United Kingdom,Over 3 years using the app
1,Bedda Matri ™,,"September 19, 2025",Italy,4 months using the app
1,GEtca GmbH,,"October 28, 2025",Germany,19 days using the app
1,Tertatoids,,"September 6, 2025",United States,7 months using the app
1,Essencestyle,,"October 17, 2025",Norway,6 days using the app
1,BEVRY,,"October 2, 2025",Cyprus,4 days using the app
1,GOAT GRINDER,,"August 1, 2025",United States,Over 1 year using the app
1,Novus Diamond,,"November 18, 2025",Türkiye,About 7 hours using the app
1,Moto Mania UK,,"June 27, 2025",United Kingdom,Almost 2 years using the app
1,fzinireland,,"August 12, 2025",Ireland,About 4 hours using the app
1,Fittez Cap,,"August 6, 2025",Egypt,5 minutes using the app
1,Petite &amp; Sassy Designs,,"September 4, 2024",United States,About 1 year using the app
1,Naked Cotton,,"February 22, 2025",Australia,7 months using the app
1,Yumtein Gummy,,"December 21, 2023",United States,7 months using the app
1,TRIBE ORGANICS,,"June 26, 2024",United States,6 months using the app
1,Americanstyle,,"January 25, 2025",Germany,5 months using the app
1,Learningbugs,,"June 16, 2024",United Kingdom,2 months using the app
1,Empire 48 Retail market place,,"March 9, 2025",United States,22 days using the app
1,Vera Argenti,,"May 22, 2025",United States,About 19 hours using the app
2,Liss &amp; Lex,Glitches out doesn't auto upload products. Have fixed mapping several times & still says not mapped. Constantly getting sync failed for no reason checked everything. It should be a seemless app but def not,"October 11, 2025",United States,Over 1 year using the app
2,Papas Brittle,"II am not sure who submitted this, but it we have been trying to get on TicTok since may, I have had heatied conversations with your personell who acknowledged the problem but kept sending me back to go.

I lost a lot of valuable time, and money trying to get approved (and I still get emails saying I am not approved) and not being able to sell. This is my prime season and I am just getting up and running.

While TikToc is a good tool, the process me was absolutely ridiculous. I am a legitimate business with my own location, not selling out of my kitchen or bedroom and I had the hardest time because I use my home - (I have a office at home) for my mailing address not my leased brick and mortar. May, June, July, August, Sept, Oct, Nov... Then we had problems connecting with Shopifly, which should have been easy. We are in, now I hope all the drama pays off!","Edited December 3, 2025",United States,4 months using the app
2,Dr. Gina&#39;s Shop,"I like engaging with my community but when they ask for my free guides - TT doesn't allow live links so I lose a lot of people bc they either have to type out the url address (yeah right) or go to my link in bio which they don't want to do either. Also, I have been trying to connect my Shopify store with TT shop for over 3 months now and they have not been able to figure it out... I'm still hopeful but my audience is not so thrilled with how long this is taking.","August 26, 2025",United States,About 1 month using the app
